serial,title,original_name,filename,location,type,affiliation,region_bucket,hiring_priority,website
74,Future Institute of Technology,Future Institute of Technology (FIT),future-institute-of-technology.md,"Garia / Boral, Kolkata district, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,High,https://www.futureeducation.in/fit/
75,George Group of Colleges / George College,George Group of Colleges / George College,george-group-of-colleges-george-college.md,"Sealdah / Chak Garia / Kolkata campuses, Kolkata district, West Bengal",Professional College Group,Information to be updated,Kolkata and outskirts,High,https://www.georgecollege.org
76,Goenka College of Commerce & Business Administration,Goenka College of Commerce & Business Administration,goenka-college-of-commerce-and-business-administration.md,"B.B. Ganguly Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://goenkacollege.net
77,Gokhale Memorial Girls' College,Gokhale Memorial Girls' College,gokhale-memorial-girls-college.md,"Harish Mukherjee Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.gokhalecollegekolkata.edu.in
78,"Govt. Girls' General Degree College, Ekbalpur","Govt. Girls' General Degree College, Ekbalpur",govt-girls-general-degree-college-ekbalpur.md,"Mayurbhanj Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.gggdc.ac.in
79,Gurudas College,Gurudas College,gurudas-college.md,"Narkeldanga, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.gurudascollege.edu.in
80,Heramba Chandra College,Heramba Chandra College,heramba-chandra-college.md,"Gariahat Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,High,https://www.herambachandracollege.ac.in
81,Heritage Institute of Technology,Heritage Institute of Technology,heritage-institute-of-technology.md,"Anandapur, Kolkata district, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,High,https://www.heritageit.edu
82,Indian Institute of Social Welfare and Business Management,Indian Institute of Social Welfare and Business Management (IISWBM),indian-institute-of-social-welfare-and-business-management.md,"College Square, Kolkata district, West Bengal",MBA / Management Institute,Information to be updated,Kolkata and outskirts,High,https://www.iiswbm.edu
83,"Institute of Business Management (IBM), Jadavpur University campus","Institute of Business Management (IBM), Jadavpur University campus",institute-of-business-management-ibm-jadavpur-university-campus.md,"Jadavpur, Kolkata district, West Bengal",MBA / BBA Institute,Information to be updated,Kolkata and outskirts,Very High,https://www.ibmnce.in
84,Institute of Engineering & Management,"Institute of Engineering & Management (IEM), Kolkata",institute-of-engineering-and-management.md,"Salt Lake Sector V, Kolkata district, West Bengal",Engineering + Management College,Information to be updated,Kolkata and outskirts,High,https://iem.edu.in
